grupo,nome,dominio,url_base,url_patterns,status
,SN Leilões,https://www.snleiloes.com.br,,,
,Sydney Leilões,https://www.sydneyleiloes.com.br,,,
,Ten Leilão,https://www.tenleilao.com.br,,,
,TM Leilões,https://www.tmleiloes.com.br,,,
,Tribunal Leilões,https://www.tribunaleiloes.com.br,,,
,Valdeir Pereira Leiloeiro,https://www.valdeirpereiraleiloeiro.com.br,,,
,Vegas Leilões,https://www.vegasleiloes.com.br,,,
,Victor Dorta Leilões,https://www.victordortaleiloes.com.br,,,
,WMS Leilões,https://www.wmsleiloes.com.br,,,
,WSP Leilões,https://www.wspleiloes.com.br,,,
,Zago Leilões,https://www.zagoleiloes.com.br,,,
,Agili Leilões,https://www.agilileiloes.com.br,,,
,Alegranzzi Leilões,https://www.alegranzzileiloes.com.br,,,
,AMT Leilões,https://www.amtleiloes.com.br,,,
,Arnaldo Leilões,https://www.arnoldoleiloes.com.br,,,
,Assertiva Leilões,https://www.assertivaleiloes.com.br,,,
,Bartmann Leilões,https://www.bartmannleiloes.com.br,,,
,Bianchi Leilões,https://www.bianchileiloes.com.br,,,
,BIS Leiloeiro,https://www.bisleiloeiro.com.br,,,
,BLM Leilão,https://www.blm.leilao.br,,,
,BSB Leilões,https://www.bsbleiloes.com.br,,,
,Cecilia Delzeir Leilões,https://www.ceciliadelzeirleiloes.com.br,,,
,CK Leilões,https://www.ckleiloes.com.br,,,
,Clademir Leiloeiro,https://www.clademirleiloeiro.com.br,,,
,Clovis Leiloeiro,https://www.clovisleiloeiro.com.br,,,
,Costa Salman Leilões,https://www.costasalmanleiloes.com.br,,,
,CPK Leilões,https://www.cpkleiloes.com.br,,,
,Debora Barz Leilões,https://www.deborabarzleiloes.com.br,,,
,Debora Muller Leilões,https://www.deboramullerleiloes.com.br,,,
,Delucca Leilões,https://www.deluccaleiloes.com.br,,,
,DLD Leiloeiro,https://www.dldleiloeiro.com.br,,,
,Eduardo Vivian,https://www.eduardovivian.com,,,
,Farias Leilões,https://www.fariasleiloes.com.br,,,
,Fernanda Leilões,https://www.fernandaleiloes.lel.br,,,
,Fumagalli Leilões,https://www.fumagallileiloes.com.br,,,
,Gabriel Leilões,https://www.gabrielleiloes.com.br,,,
,Gestor Leilões,https://www.gestorleiloes.com.br,,,
,Grandes Leilões,https://www.grandesleiloes.com.br,,,
,GT Leilões,https://www.gtleiloes.com.br,,,
,Hasta Publica,https://www.hastapublica.lel.br,,,
,JAC Leilões,https://www.jacleiloes.com.br,,,
,JHC Leiloeiro Oficial,https://www.jhcleiloeirooficial.lel.br,,,
,J Ritta,https://www.jritta.lel.br,,,
,JU Leilões,https://www.juleiloes.com.br,,,
,Kirinus Leilões,https://www.kirinusleiloes.com.br,,,
,Leffa Leilões,https://www.leffaleiloes.com.br,,,
,Leilão Butia,https://www.leilaobutia.com.br,,,
,Leiloeiro Barbieri,https://www.leiloeirobarbieri.com.br,,,
,Leiloeiro Judicial,https://www.leiloeirojudicial.lel.br,,,
,Leilões SC,https://www.leiloes-sc.com.br,,,
,Leilões RS,https://www.leiloes.rs,,,
,Leilões JV Farias,https://www.leiloesjvfarias.com.br,,,
,Leomar Kirinus Leilões,https://www.leomarkirinusleiloes.com.br,,,
,Lessa Leilões,https://www.lessaleiloes.com.br,,,
,Lipinski Leilões,https://www.lipinskileiloes.com.br,,,
,Lottermann Leilões,https://www.lottermannleiloes.com.br,,,
,Lucivera Reis Leilões,https://www.luciverareisleiloes.com.br,,,
,Luis Leiloeiro,https://www.luisleiloeiro.com.br,,,
,Machado Leilões RS,https://www.machadoleiloesrs.com.br,,,
,Marcelo Leiloeiro,https://www.marceloleiloeiro.com.br,,,
,Medeiros Leilões,https://www.medeirosleiloes.com.br,,,
,Mercado Leilões,https://www.mercadoleiloes.com.br,,,
,Michelli Leilões,https://www.michellileiloes.com.br,,,
,Moresco Leilões,https://www.morescoleiloes.com.br,,,
,MP Leilão,https://www.mpleilao.com.br,,,
,NS Leilões (leilao.br),https://www.nsleiloes.leilao.br,,,
,NS Leilões (lel.br),https://www.nsleiloes.lel.br,,,
,Oscar Leilão,https://www.oscar.leilao.br,,,
,Pietoso Leilões,https://www.pietosoleiloes.com.br,,,
,Rabuske Leilões,https://www.rabuskeleiloes.com.br,,,
,Rangel Leilões,https://www.rangelleiloes.com.br,,,
,Raupp Leilões,https://www.rauppleiloes.com.br,,,
,Regional Leilões,https://www.regionalleiloes.com.br,,,
,Renovar Leilões,https://www.renovarleiloes.com.br,,,
,Rubem Garcia,https://www.rubemgarcia.com.br,,,
,RZ Leilão,https://www.rz.leilao.br,,,
,Sandro Leiloeiro,https://www.sandroleiloeiro.com.br,,,
,Santa Maria Leilões,https://www.santamarialeiloes.com.br,,,
,Santayana Leilões,https://www.santayanaleiloes.com.br,,,
,SB Leilões,https://www.sbleiloes.lel.br,,,
,Scheid Leilão,https://www.scheid.leilao.br,,,
,Scholante,https://www.scholante.com.br,,,
,Silvio Pereira Leiloeiro,https://www.silviopereiraleiloeiro.com.br,,,
,Sol Leilões,https://www.soleiloes.com.br,,,
,Soprano Leilão,https://www.sopranoleilao.com.br,,,
,Super Leilões,https://www.superleiloes.net,,,
,SW Leilões,https://www.swleiloes.com.br,,,
,Szortyka Leilões,https://www.szortykaleiloes.com.br,,,
,Tonialli Leilões,https://www.tonialleiloes.com.br,,,
,Trevisan Leilões,https://www.trevisanleiloes.com.br,,,
,Utzig Leilões,https://www.utzigleiloes.com.br,,,
,Veronica Leilões,https://www.veronicaleiloes.com.br,,,
,Vidal Leilões,https://www.vidalleiloes.com.br,,,
,VS Leilões,https://www.vsleiloes.com,,,
,Wendel Garcia,https://www.wendelgarcia.com.br,,,
,Zaccarias Leilões,https://www.zaccariasleiloes.com.br,,,
,Zuccalmaglio Leilões,https://www.zuccalmaglioleiloes.com.br,,,
,Adring Leilões,https://adringleiloes.com.br,,,
,Aguia Leilões,https://www.aguialeiloes.com.br,,,
,Almoeda Leilões,https://www.almoedaleiloes.com.br,,,
,Arremate Leilões Judiciais,https://www.arremateleiloesjudiciais.com.br,,,
,Bolsa de Leilões,https://www.bolsadeleiloes.com.br,,,
,Casa do Leilão,https://www.casadoleilao.com,,,
,CR Leilões,https://www.crleiloes.com.br,,,
,De Araujo Leilões,https://www.dearaujoleiloes.com.br,,,
,Delano Leilões,https://www.delanoleiloes.com.br,,,
,Dux Leilões,https://www.duxleiloes.com.br,,,
,EDN Leilões,https://www.ednleiloes.com.br,,,
,Eixo Leilões,https://www.eixoleiloes.com.br,,,
,Felipe Frazão,https://www.felipefrazao.com.br,,,
,Flavio Costa Leilões,https://www.flaviocostaleiloes.com.br,,,
,Hisa Leilões,https://www.hisaleiloes.com.br,,,
,Innova Leilões,https://www.innovaleiloes.com.br,,,
,Jussiara Leilões,https://www.jussiaraleiloes.com,,,
,Leilões 61,https://www.leiloes61.com.br,,,
,Leilões Federal,https://www.leiloesfederal.com.br,,,
,Leilões Santos Moraes,https://www.leiloessantosmoraes.com.br,,,
,Lucas Ignacio Leilões,https://www.lucasignacioleiloes.com.br,,,
,Marques Barreto Leilões,https://www.marquesbarretoleiloes.com.br,,,
,Martha Helena Leiloeira,https://www.marthahelenaleiloeira.com.br,,,
,Moacira,https://www.moacira.lel.br,,,
,MRL4 Leilões,https://www.mrl4leiloes.com.br,,,
,Nasar Leilões,https://www.nasarleiloes.com.br,,,
,OA Leilões,https://www.oaleiloes.com.br,,,
,Osvaldo Leilões,https://www.osvaldoleiloes.com.br,,,
,Prosperar Leilões,https://www.prosperarleiloes.com.br,,,
,Rodrigo Leilões,https://www.rodrigoleiloes.com.br,,,
,Sanches Leilões,https://www.sanchesleiloes.com.br,,,
,Soares Leilões,https://www.soaresleiloes.com.br,,,
,UP Leilões,https://www.upleiloes.com.br,,,
,Vargas e Pinto Leilões,https://www.vargasepintoleiloes.com.br,,,
,Vinci Leilões,https://www.vincileiloes.com.br,,,
,Akimito Leilões,https://www.akimotoleiloes.com.br,,,
,Alessandra Leilões,https://www.alessandraleiloes.com.br,,,
,Alessandro Teixeira Leilões,https://www.alessandroteixeiraleiloes.com.br,,,
,Álvaro Leilões,https://www.alvaroleiloes.com.br,,,
,Bom Negócio Leilões,https://www.bomnegocioleiloes.com.br,,,
,Bruno Leilões,https://www.brunoleiloes.com.br,,,
,Capital Valor Leilões,https://www.capitalvalorleiloes.com.br,,,
,Carlo Ferrari Leilões,https://www.carloferrarileiloes.com.br,,,
,Cida Fixer Leilões,https://www.cidafixerleiloes.com.br,,,
,Da Silva Leilões,https://www.dasilvaleiloes.com.br,,,
,Deonizi Leilões,https://www.deonizialeiloes.com.br,,,
,De Souza Leilões,https://www.desouzaleiloes.com.br,,,
,Dias Leilões,https://www.diasleiloes.com.br,,,
,DM Leilões Judiciais,https://www.dmleiloesjudiciais.com.br,,,
,Do Leilões,https://www.doleiloes.com.br,,,
,Fábio Barbosa Leilões,https://www.fabiobarbosaleiloes.com.br,,,
,Fábio Leilões,https://www.fabioleiloes.com.br,,,
,Fidelis Leilões,https://www.fidelisleiloes.com.br,,,
,Galvani Leilões,https://www.galvanileiloes.com.br,,,
,Gilson Leilões,https://www.gilsonleiloes.com.br,,,
,Giordano Leilões,https://www.giordanoleiloes.com.br,,,
,HD Leilões,https://www.hdleiloes.com.br,,,
,JD Leilões,https://www.jdleiloes.com.br,,,
,José Rodovalho Leilões,https://www.joserodovalholeiloes.com.br,,,
,JR Leilões,https://www.jrleiloes.com.br,,,
,J. Silva Leilões,https://www.jsilvaleiloes.com.br,,,
,Leilões Centro Oeste,https://www.leiloescentrooeste.com.br,,,
,Leilões Judiciais Bahia,https://www.leiloesjudiciaisbahia.com.br,,,
,Leilões Maria Filomena,https://www.leiloesmariafilomena.com.br,,,
,Leilões Zanoni,https://www.leiloeszanoni.com.br,,,
,Lívia Leilões,https://www.livialeiloes.com.br,,,
,Marcelo Lima Leilões,https://www.marcelolimaleiloes.com.br,,,
,Maria Fixer Leilões,https://www.mariafixerleiloes.com.br,,,
,Mato Grosso Leilões,https://www.matogrossoleiloes.com.br,,,
,Norte Nordeste Leilões,https://www.nortenordesteleiloes.com.br,,,
,Pantanal Leilões Judiciais,https://www.pantanalleiloesjudiciais.com.br,,,
,Planalto Leilões,https://www.planaltoleiloes.com.br,,,
,Rigolon Leilões,https://www.rigolonleiloes.com.br,,,
,Rio Leilões,https://www.rioleiloes.com.br,,,
,Sudeste Leilões,https://www.sudesteleiloes.com.br,,,
,Supera Leilões,https://www.superaleiloes.com.br,,,
,Thaís Teixeira Leilões,https://www.thaisteixeiraleiloes.com.br,,,
,Verde Amarelo Leilões,https://www.verdeamareloleiloes.com.br,,,
,Verri Leilões,https://www.verrileiloes.com.br,,,
,Viva Goiás Leilões,https://www.vivagoiasleiloes.com.br,,,
,Leilões do Norte,https://www.leiloesdonorte.com.br,,,
,WR Leilões,https://wrleiloes.com.br,,,
,Atlantico Leilões,https://www.atlanticoleiloes.com.br,,,
,MJ Leilões,https://www.mjleiloes.com.br,,,
,Marco Leilões,https://www.marcoleiloes.com.br,,,
,Mariano Leilões,https://www.marianoleiloes.com.br,,,
,Em Leilão,https://www.emleilao.com.br,,,
,Gestão de Leilões,https://www.gestaodeleiloes.com.br,,,
,Sousa Leilões,https://www.sousaleiloes.com.br,,,
,Líder Leilões,https://www.liderleiloes.com.br,,,
