grupo,nome,dominio,url_base,crawl_urls,include_paths
Plataforma LEL.BR,JV Leilões,https://www.jvleiloes.lel.br,https://www.jvleiloes.lel.br,https://www.jvleiloes.lel.br|https://www.jvleiloes.lel.br/leiloes|https://www.jvleiloes.lel.br/leiloes/abertos|https://www.jvleiloes.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Andréa Leiloeira,https://www.andrealeiloeira.lel.br,https://www.andrealeiloeira.lel.br,https://www.andrealeiloeira.lel.br|https://www.andrealeiloeira.lel.br/leiloes|https://www.andrealeiloeira.lel.br/leiloes/abertos|https://www.andrealeiloeira.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Mario Ricart,https://www.marioricart.lel.br,https://www.marioricart.lel.br,https://www.marioricart.lel.br|https://www.marioricart.lel.br/leiloes|https://www.marioricart.lel.br/leiloes/abertos|https://www.marioricart.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Octavio Vianna,https://www.octaviovianna.lel.br,https://www.octaviovianna.lel.br,https://www.octaviovianna.lel.br|https://www.octaviovianna.lel.br/leiloes|https://www.octaviovianna.lel.br/leiloes/abertos|https://www.octaviovianna.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Silas Leiloeiro,https://www.silasleiloeiro.lel.br,https://www.silasleiloeiro.lel.br,https://www.silasleiloeiro.lel.br|https://www.silasleiloeiro.lel.br/leiloes|https://www.silasleiloeiro.lel.br/leiloes/abertos|https://www.silasleiloeiro.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Mauro Marcello,https://www.mauromarcello.lel.br,https://www.mauromarcello.lel.br,https://www.mauromarcello.lel.br|https://www.mauromarcello.lel.br/leiloes|https://www.mauromarcello.lel.br/leiloes/abertos|https://www.mauromarcello.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Gustavo Leiloeiro,https://www.gustavoleiloeiro.lel.br,https://www.gustavoleiloeiro.lel.br,https://www.gustavoleiloeiro.lel.br|https://www.gustavoleiloeiro.lel.br/leiloes|https://www.gustavoleiloeiro.lel.br/leiloes/abertos|https://www.gustavoleiloeiro.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Arremate,https://www.arremate.lel.br,https://www.arremate.lel.br,https://www.arremate.lel.br|https://www.arremate.lel.br/leiloes|https://www.arremate.lel.br/leiloes/abertos|https://www.arremate.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Flávio Garcia,https://www.flaviogarcia.lel.br,https://www.flaviogarcia.lel.br,https://www.flaviogarcia.lel.br|https://www.flaviogarcia.lel.br/leiloes|https://www.flaviogarcia.lel.br/leiloes/abertos|https://www.flaviogarcia.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Jorge Brasil,https://www.jorgebrasil.lel.br,https://www.jorgebrasil.lel.br,https://www.jorgebrasil.lel.br|https://www.jorgebrasil.lel.br/leiloes|https://www.jorgebrasil.lel.br/leiloes/abertos|https://www.jorgebrasil.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Leiloeiro,https://www.leiloeiro.lel.br,https://www.leiloeiro.lel.br,https://www.leiloeiro.lel.br|https://www.leiloeiro.lel.br/leiloes|https://www.leiloeiro.lel.br/leiloes/abertos|https://www.leiloeiro.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Leilofácil,https://www.leilofacil.lel.br,https://www.leilofacil.lel.br,https://www.leilofacil.lel.br|https://www.leilofacil.lel.br/leiloes|https://www.leilofacil.lel.br/leiloes/abertos|https://www.leilofacil.lel.br/leiloes/proximos,/lote/|/lotes/
Plataforma LEL.BR,Fernando Braga,https://www.fernandobraga.lel.br,https://www.fernandobraga.lel.br,https://www.fernandobraga.lel.br|https://www.fernandobraga.lel.br/leiloes|https://www.fernandobraga.lel.br/leiloes/abertos|https://www.fernandobraga.lel.br/leiloes/proximos,/lote/|/lotes/
